dataset,condition,seed,dice,bf1,hd95,assd
isic2018,bdslite_full,1,0.8616456657322821,0.5384861892771423,21.387821634456774,7.031951570937435
isic2018,bdslite_full,2,0.8590673080293711,0.5538050108012706,18.92446704411785,6.735692857652323
isic2018,bdslite_full,3,0.8614893658767439,0.5537593383477015,19.91500423056014,6.8410391378679405
isic2018,bdslite_gate_removed,1,0.8616534427760107,0.5379099244304394,21.73874784000146,7.071926279328547
isic2018,bdslite_gate_removed,2,0.859658581500991,0.554044476968444,18.966163747041605,6.749700304541142
isic2018,bdslite_gate_removed,3,0.8615932401065243,0.5512665045699952,19.968241648009943,6.857150126241392
acdc,bdslite_full,1,0.7746202400790136,0.8251830528797811,8.277350484439248,2.305491483350268
acdc,bdslite_full,2,0.7901385747378398,0.8367653279107103,7.288893206133559,2.356461792729958
acdc,bdslite_full,3,0.7893269515793927,0.8371398956365116,7.721344756625449,2.3700042627206703
acdc,bdslite_gate_removed,1,0.774887774004767,0.8254370707971872,8.28256069628265,2.310070320808876
acdc,bdslite_gate_removed,2,0.7907574342612378,0.8376261577066466,7.352699229916599,2.3569294185708367
acdc,bdslite_gate_removed,3,0.7896430242474857,0.8373402117643997,7.757616013819543,2.363098513141873
synapse,bdslite_full,1,0.8501999187281135,0.8642119854479119,10.548984656559407,4.146456866147748
synapse,bdslite_full,2,0.8477899958995857,0.8588971545854244,10.084932673787506,3.7499317017582907
synapse,bdslite_full,3,0.8417610311949579,0.8555264508752864,11.137963043004529,4.187458671700863
synapse,bdslite_gate_removed,1,0.8500682002233143,0.8641778036534167,10.557998837871214,4.149410887875179
synapse,bdslite_gate_removed,2,0.842952655021593,0.8553355028227,9.775174177208248,3.875375072304898
synapse,bdslite_gate_removed,3,0.8416019744735577,0.8553691666852552,11.139200388378637,4.187025044173344
