dataset,split,method,seed,dsc,iou,hd95,assd,boundary_f1,source_artifact
isic2018,val,unet_gsl,1,0.8673975035941692,0.7904127579514266,20.815968952899755,6.713253718129424,0.5426891547044297,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_isic2018_seed1_val.csv
isic2018,val,unet_gsl,2,0.8664648295511145,0.7896187941168081,19.3050505893175,6.571753369745358,0.5313462949889681,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_isic2018_seed2_val.csv
isic2018,val,unet_gsl,3,0.8648629237896271,0.7904417606369915,19.265133643708033,6.693360560005404,0.5455784055950451,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_isic2018_seed3_val.csv
acdc,val,unet_gsl,1,0.7881042040384981,0.7153422881649273,6.763871512288932,1.8545602259350698,0.8375223022128101,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_acdc_seed1_val.csv
acdc,val,unet_gsl,2,0.8005711998557791,0.7262698894544771,6.9376920003196005,1.9071393972111153,0.8495833438146226,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_acdc_seed2_val.csv
acdc,val,unet_gsl,3,0.7950905332090628,0.7224684155843623,4.877334650577516,1.8839404459123374,0.845087008982809,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_acdc_seed3_val.csv
acdc,test,unet_gsl,1,0.7781465788143186,0.6960843443055519,7.427594630889215,2.3035337797686495,0.8230154157810426,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_acdc_seed1_test.csv
acdc,test,unet_gsl,2,0.7879760003590178,0.705715057730761,8.201018101106648,2.29359947905508,0.8304051196815214,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_acdc_seed2_test.csv
acdc,test,unet_gsl,3,0.7905284417564628,0.7095008380739337,5.414188573111416,1.6735852463961498,0.8297233142018353,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_acdc_seed3_test.csv
synapse,val,unet_gsl,1,0.8497026360152815,0.8305927297972073,10.68540013035449,3.914531819153347,0.8542037411095739,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_synapse_seed1_val.csv
synapse,val,unet_gsl,2,0.8607687907697925,0.8407639778278233,11.527277223589767,4.0831223636950655,0.8657319252790459,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_synapse_seed2_val.csv
synapse,val,unet_gsl,3,0.8612954362739556,0.8419212451627048,10.047555409772723,3.6857281097355346,0.8652382995036239,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_synapse_seed3_val.csv
synapse,test,unet_gsl,1,0.8546620886016136,0.8363971794821201,10.376752717395913,4.111087080008146,0.8606459520616148,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_synapse_seed1_test.csv
synapse,test,unet_gsl,2,0.8650355875384198,0.8461092090185218,10.138049468616098,3.770959710380364,0.8714941400913823,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_synapse_seed2_test.csv
synapse,test,unet_gsl,3,0.8722252432276317,0.8535586847249473,9.870686215512464,3.6879160231616295,0.8780624240013319,results/submission_blocker_resolution_v1/gsl_memory_bounded/evaluations/phase16_matched_gsl_synapse_seed3_test.csv
