dataset,comparison,split,metric,n_seed_pairs,reference,candidate,reference_values,candidate_values,mean_reference,mean_candidate,mean_difference_candidate_minus_reference,mean_oriented_difference_positive_is_better,wilcoxon_statistic,raw_p_value_two_sided,holm_corrected_p_value_within_dataset_comparison,decision_alpha_0_05,mathematically_possible_note,source_artifact
acdc,bds_lite_full_vs_ege_unet,test,assd,3,ege_unet,bds_lite_full,3.7502461012903834|3.8585401139570963|4.111711003524386,2.5172744995745204|2.467816035887222|2.4770368669370044,3.9068324062572883,2.487375800799582,-1.4194566054577062,1.4194566054577062,0.0,0.25,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_ege_unet,test,boundary_f1,3,ege_unet,bds_lite_full,0.5981038991687377|0.5890861701032458|0.5714784626494583,0.8186399214609005|0.8270599396145988|0.8343126379692691,0.5862228439738139,0.8266708330149228,0.24044798904110884,0.24044798904110884,0.0,0.25,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_ege_unet,test,dsc,3,ege_unet,bds_lite_full,0.6133434700858152|0.6043520016293321|0.5832570078573854,0.7752204256435067|0.7883196255725456|0.7904204301183748,0.6003174931908443,0.7846534937781424,0.18433600058729813,0.18433600058729813,0.0,0.25,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_ege_unet,test,hd95,3,ege_unet,bds_lite_full,10.522127552695801|10.420472781505447|10.517865740063245,7.315101844325407|8.674419386718784|6.879437713710985,10.486822024754831,7.622986314918392,-2.863835709836439,2.863835709836439,0.0,0.25,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_ege_unet,test,iou,3,ege_unet,bds_lite_full,0.5139471331651468|0.5039999851310145|0.4855700917607531,0.6983789829794684|0.7091210347438964|0.7143996383395428,0.5011724033523047,0.7072998853543025,0.20612748200199774,0.20612748200199774,0.0,0.25,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_unet,test,assd,3,unet,bds_lite_full,1.825839225806253|2.3256743696440982|2.472415920138626,2.5172744995745204|2.467816035887222|2.4770368669370044,2.207976505196326,2.487375800799582,0.27939929560325655,-0.27939929560325655,0.0,0.25,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_unet,test,boundary_f1,3,unet,bds_lite_full,0.8312815687740055|0.8289805900090395|0.8336321499732743,0.8186399214609005|0.8270599396145988|0.8343126379692691,0.831298102918773,0.8266708330149228,-0.00462726990385028,-0.00462726990385028,1.0,0.5,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_unet,test,dsc,3,unet,bds_lite_full,0.7862659404739069|0.790883536342251|0.7906769154968644,0.7752204256435067|0.7883196255725456|0.7904204301183748,0.7892754641043407,0.7846534937781424,-0.00462197032619834,-0.00462197032619834,0.0,0.25,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_unet,test,hd95,3,unet,bds_lite_full,6.159793937281084|7.405396950648239|7.063548534483441,7.315101844325407|8.674419386718784|6.879437713710985,6.876246474137588,7.622986314918392,0.7467398407808036,-0.7467398407808036,1.0,0.5,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
acdc,bds_lite_full_vs_unet,test,iou,3,unet,bds_lite_full,0.7091958821697028|0.7120170225148498|0.7127466281788509,0.6983789829794684|0.7091210347438964|0.7143996383395428,0.7113198442878012,0.7072998853543025,-0.004019958933498602,-0.004019958933498602,1.0,0.5,1.0,not significant,n=3 exact two-sided Wilcoxon p-values cannot be below 0.25 for nonzero paired differences,results/final_manuscript_audit_v2/recomputed_main_test_means.csv
